,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,-0.02
1,20,-1.0,199,4000,0.0
2,20,0.0,299,6000,0.08
3,20,0.0,399,8000,0.22
4,20,0.0,499,10000,0.21
5,20,1.0,599,12000,0.29
6,20,1.0,699,14000,0.27
7,20,1.0,799,16000,0.28
8,20,1.0,899,18000,0.36
9,20,1.0,999,20000,0.38
