,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,-0.06
1,20,1.0,199,4000,0.21
2,20,0.0,299,6000,0.17
3,20,-1.0,399,8000,0.16
4,20,0.0,499,10000,0.53
5,20,0.0,599,12000,0.39
6,20,0.0,699,14000,0.74
7,20,0.0,799,16000,0.73
8,20,1.0,899,18000,0.76
9,20,2.0,999,20000,0.8
10,20,1.0,1099,22000,1.08
11,20,1.0,1199,24000,0.82
12,20,-1.0,1299,26000,0.92
13,20,2.0,1399,28000,0.92
14,20,2.0,1499,30000,1.05
15,20,2.0,1599,32000,0.97
16,20,2.0,1699,34000,1.09
17,20,1.0,1799,36000,1.01
18,20,1.0,1899,38000,0.97
19,20,2.0,1999,40000,0.95
20,20,1.0,2099,42000,0.98
21,20,1.0,2199,44000,0.99
22,20,0.0,2299,46000,0.88
23,20,1.0,2399,48000,1.08
24,20,2.0,2499,50000,1.09
25,20,2.0,2599,52000,1.04
26,20,2.0,2699,54000,1.09
27,20,1.0,2799,56000,1.02
28,20,1.0,2899,58000,1.08
29,20,0.0,2999,60000,1.14
30,20,0.0,3099,62000,1.04
31,20,1.0,3199,64000,1.22
32,20,1.0,3299,66000,1.1
33,20,1.0,3399,68000,1.19
34,20,0.0,3499,70000,1.24
35,20,-1.0,3599,72000,1.03
36,20,0.0,3699,74000,1.16
37,20,2.0,3799,76000,1.05
38,20,1.0,3899,78000,1.15
39,20,1.0,3999,80000,1.04
40,20,2.0,4099,82000,1.2
41,20,1.0,4199,84000,1.18
42,20,1.0,4299,86000,1.21
43,20,0.0,4399,88000,1.14
44,20,1.0,4499,90000,1.26
45,20,2.0,4599,92000,1.22
46,20,1.0,4699,94000,1.24
47,20,1.0,4799,96000,1.05
48,20,1.0,4899,98000,1.08
49,20,1.0,4999,100000,1.27
