,episode_length,ep_reward,episodes,total_step,average_return
0,20,-2.0,99,2000,-0.06
1,20,1.0,199,4000,-0.06
2,20,-1.0,299,6000,-0.02
3,20,0.0,399,8000,0.3
4,20,-1.0,499,10000,0.35
5,20,1.0,599,12000,0.45
6,20,0.0,699,14000,0.64
7,20,1.0,799,16000,0.49
8,20,0.0,899,18000,0.46
9,20,-1.0,999,20000,0.71
10,20,0.0,1099,22000,0.66
11,20,0.0,1199,24000,0.89
12,20,0.0,1299,26000,0.69
13,20,2.0,1399,28000,0.91
14,20,1.0,1499,30000,0.88
15,20,1.0,1599,32000,1.0
16,20,-1.0,1699,34000,0.79
17,20,1.0,1799,36000,0.93
18,20,2.0,1899,38000,1.13
19,20,0.0,1999,40000,0.83
20,20,1.0,2099,42000,0.98
21,20,1.0,2199,44000,0.92
22,20,2.0,2299,46000,1.09
23,20,0.0,2399,48000,1.03
24,20,1.0,2499,50000,1.0
25,20,2.0,2599,52000,1.06
26,20,0.0,2699,54000,1.1
27,20,1.0,2799,56000,1.09
28,20,2.0,2899,58000,1.12
29,20,0.0,2999,60000,1.11
30,20,1.0,3099,62000,1.21
31,20,1.0,3199,64000,1.04
32,20,1.0,3299,66000,1.02
33,20,0.0,3399,68000,1.09
34,20,1.0,3499,70000,1.1
35,20,1.0,3599,72000,1.1
36,20,1.0,3699,74000,1.19
37,20,2.0,3799,76000,1.19
38,20,2.0,3899,78000,1.14
39,20,1.0,3999,80000,1.28
40,20,0.0,4099,82000,1.18
41,20,1.0,4199,84000,1.18
42,20,1.0,4299,86000,1.29
43,20,0.0,4399,88000,1.27
44,20,2.0,4499,90000,1.24
45,20,0.0,4599,92000,1.34
46,20,1.0,4699,94000,1.39
47,20,2.0,4799,96000,1.32
48,20,2.0,4899,98000,1.33
49,20,2.0,4999,100000,1.29
